Values,Density
-10.178081609713514,1.0363461169782262e-7
-10.167718751159457,1.0536173999931009e-7
-10.1573558926054,1.0868528908802855e-7
-10.146993034051343,1.1364352101028707e-7
-10.136630175497286,1.202926515342373e-7
-10.12626731694323,1.2870722922164735e-7
-10.115904458389172,1.3898062639627895e-7
-10.105541599835115,1.5122564062108879e-7
-10.095178741281059,1.6557520705895445e-7
-10.084815882727002,1.8218322178631396e-7
-10.074453024172945,2.01225474408262e-7
-10.064090165618888,2.2290069036368099e-7
-10.05372730706483,2.474316812689503e-7
-10.043364448510774,2.750666016904102e-7
-10.033001589956717,3.060803108606569e-7
-10.02263873140266,3.407758372847569e-7
-10.012275872848603,3.7948594271142166e-7
-10.001913014294546,4.225747835817639e-7
-9.991550155740489,4.704396645016651e-7
-9.981187297186432,5.235128804625955e-7
-9.970824438632375,5.822636421626282e-7
-9.960461580078318,6.472000781687637e-7
-9.950098721524261,7.188713077449504e-7
-9.939735862970204,7.978695754640164e-7
-9.929373004416147,8.848324405119623e-7
-9.91901014586209,9.804450092215644e-7
-9.908647287308034,1.0854422015510456e-6
-9.898284428753977,1.2006110385737179e-6
-9.88792157019992,1.3267929385579746e-6
-9.877558711645863,1.4648860073851466e-6
-9.867195853091806,1.6158473072902524e-6
-9.856832994537749,1.7806950885213002e-6
-9.846470135983692,1.9605109648612035e-6
-9.836107277429635,2.1564420143137253e-6
-9.825744418875578,2.369702785992925e-6
-9.815381560321521,2.601577188959467e-6
-9.805018701767464,2.853420244081431e-6
-9.794655843213407,3.126659672274268e-6
-9.78429298465935,3.4227972962258893e-6
-9.773930126105293,3.743410229991098e-6
-9.763567267551236,4.090151829654748e-6
-9.75320440899718,4.464752378659405e-6
-9.742841550443123,4.869019480398425e-6
-9.732478691889066,5.3048381300803416e-6
-9.722115833335009,5.7741704381063935e-6
-9.711752974780952,6.279054976886418e-6
-9.701390116226895,6.821605723915207e-6
-9.691027257672838,7.404010572719701e-6
-9.68066439911878,8.028529386555627e-6
-9.670301540564724,8.697491568134506e-6
-9.659938682010667,9.413293121219787e-6
-9.64957582345661,1.0178393181442709e-5
-9.639212964902553,1.0995309994554087e-5
-9.628850106348496,1.1866616323467222e-5
-9.61848724779444,1.279493426700664e-5
-9.608124389240382,1.3782929475738073e-5
-9.597761530686325,1.4833304754591041e-5
-9.587398672132268,1.5948793042646313e-5
-9.577035813578211,1.7132149767107134e-5
-9.566672955024154,1.838614456921555e-5
-9.556310096470098,1.9713552405834812e-5
-9.54594723791604,2.1117144033988046e-5
-9.535584379361984,2.2599675890215207e-5
-9.525221520807927,2.4163879380797136e-5
-9.51485866225387,2.581244960492453e-5
-9.504495803699813,2.7548033536011277e-5
-9.494132945145756,2.9373217693608872e-5
-9.483770086591699,3.129051534128159e-5
-9.473407228037642,3.330235325325545e-5
-9.463044369483585,3.541105809526553e-5
-9.452681510929528,3.761884247289668e-5
-9.442318652375471,3.992779070329834e-5
-9.431955793821414,4.2339844372686966e-5
-9.421592935267357,4.485678774612638e-5
-9.4112300767133,4.748023309979199e-5
-9.400867218159243,5.021160605234859e-5
-9.390504359605186,5.3052130972869316e-5
-9.38014150105113,5.6002816549001466e-5
-9.369778642497073,5.906444159990698e-5
-9.359415783943016,6.223754122326904e-5
-9.349052925388959,6.552239336554341e-5
-9.338690066834902,6.89190059080056e-5
-9.328327208280845,7.242710436090004e-5
-9.317964349726788,7.604612025948788e-5
-9.307601491172731,7.97751803542756e-5
-9.297238632618674,8.36130966880462e-5
-9.286875774064617,8.755835764996667e-5
-9.27651291551056,9.160912009486578e-5
-9.266150056956503,9.576320261376302e-5
-9.255787198402446,0.00010001808003627655
-9.24542433984839,0.00010437087924344834
-9.235061481294332,0.00010881837636283857
-9.224698622740275,0.00011335699541283745
-9.214335764186218,0.00011798280845722563
-9.203972905632162,0.0001226915373232669
-9.193610047078105,0.00012747855692996947
-9.183247188524048,0.0001323389002647786
-9.17288432996999,0.00013726726503888662
-9.162521471415934,0.0001422580220422822
-9.152158612861877,0.00014730522520959265
-9.14179575430782,0.00015240262340049555
-9.131432895753763,0.0001575436738855164
-9.121070037199706,0.00016272155752049614
-9.110707178645649,0.00016792919558161236
-9.100344320091592,0.00017315926822285103
