Values,Density
-9.84798037157333,1.2083355743763846e-7
-9.838684981571701,1.2248057129626844e-7
-9.82938959157007,1.26375450701377e-7
-9.820094201568441,1.325654918615804e-7
-9.810798811566812,1.4112866231208443e-7
-9.801503421565183,1.521740790461079e-7
-9.792208031563552,1.6584272180542037e-7
-9.782912641561923,1.8230837744992456e-7
-9.773617251560294,2.017788126029707e-7
-9.764321861558665,2.2449717060335495e-7
-9.755026471557034,2.50743588725566e-7
-9.745731081555405,2.8083703072778743e-7
-9.736435691553776,3.15137329912063e-7
-9.727140301552147,3.540474365487656e-7
-9.717844911550516,3.980158621019747e-7
-9.708549521548887,4.4753931356666943e-7
-9.699254131547258,5.031655074400065e-7
-9.68995874154563,5.654961538203995e-7
-9.680663351543998,6.351900979778557e-7
-9.67136796154237,7.129666062810625e-7
-9.66207257154074,7.996087807715657e-7
-9.65277718153911,8.959670849267853e-7
-9.64348179153748,1.0029629615160296e-6
-9.634186401535851,1.1215925203589272e-6
-9.624891011534222,1.2529302726160818e-6
-9.615595621532592,1.3981328847029184e-6
-9.606300231530962,1.55844292316909e-6
-9.597004841529333,1.7351925590963768e-6
-9.587709451527704,1.929807197778577e-6
-9.578414061526074,2.14380899758726e-6
-9.569118671524445,2.3788202382912793e-6
-9.559823281522815,2.6365664977934244e-6
-9.550527891521186,2.918879592624622e-6
-9.541232501519556,3.2277002367962424e-6
-9.531937111517927,3.5650803702005907e-6
-9.522641721516298,3.93318510661083e-6
-9.513346331514668,4.334294249861825e-6
-9.504050941513038,4.7708033250408975e-6
-9.494755551511409,5.245224071484967e-6
-9.48546016150978,5.760184343080784e-6
-9.47616477150815,6.318427361698929e-6
-9.46686938150652,6.9228102704543826e-6
-9.45757399150489,7.5763019339982265e-6
-9.448278601503262,8.28197993480665e-6
-9.43898321150163,9.043026716904542e-6
-9.429687821500002,9.862724830840552e-6
-9.420392431498373,1.0744451237870885e-5
-9.411097041496744,1.1691670634864353e-5
-9.401801651495113,1.2707927766981986e-5
-9.392506261493484,1.3796838699897673e-5
-9.383210871491855,1.4962081030902349e-5
-9.373915481490226,1.6207383023389985e-5
-9.364620091488595,1.7536511658937945e-5
-9.355324701486966,1.8953259607284393e-5
-9.346029311485337,2.0461431125233433e-5
-9.336733921483708,2.206482690296583e-5
-9.327438531482077,2.3767227887793547e-5
-9.318143141480448,2.5572378124390054e-5
-9.308847751478819,2.7483966661086268e-5
-9.29955236147719,2.9505608583309164e-5
-9.290256971475559,3.164082524498117e-5
-9.28096158147393,3.389302378046957e-5
-9.2716661914723,3.626547598989426e-5
-9.26237080147067,3.876129670080119e-5
-9.253075411469041,4.1383421720520355e-5
-9.243780021467412,4.4134585501696966e-5
-9.234484631465783,4.7017298654172465e-5
-9.225189241464152,5.00338254431406e-5
-9.215893851462523,5.318616142274517e-5
-9.206598461460894,5.6476011359276115e-5
-9.197303071459265,5.9904767605211545e-5
-9.188007681457634,6.347348908807785e-5
-9.178712291456005,6.71828810824707e-5
-9.169416901454376,7.103327593463091e-5
-9.160121511452747,7.502461490935947e-5
-9.150826121451116,7.915643132773518e-5
-9.141530731449487,8.34278351615628e-5
-9.132235341447858,8.783749924561046e-5
-9.122939951446229,9.238364726362348e-5
-9.113644561444598,9.70640436555167e-5
-9.10434917144297,0.00010187598558523189
-9.09505378144134,0.00010681629709670751
-9.08575839143971,0.00011188132557549222
-9.07646300143808,0.00011706694061797054
-9.067167611436451,0.00012236853539696058
-9.057872221434822,0.00012778103059643206
-9.048576831433191,0.00013329888097095809
-9.039281441431562,0.00013891608456803334
-9.029986051429933,0.00014462619463318904
-9.020690661428304,0.00015042233419914567
-9.011395271426673,0.00015629721333989492
-9.002099881425044,0.00016224314905260648
-8.992804491423415,0.00016825208770967354
-8.983509101421786,0.00017431563000457886
-8.974213711420155,0.00018042505829579496
-8.964918321418526,0.00018657136623498978
-8.955622931416897,0.0001927452905479965
-8.946327541415268,0.0001989373448199397
-8.937032151413637,0.00020513785512055877
-8.927736761412008,0.0002113369972913167
-8.91844137141038,0.0002175248357014041
-8.90914598140875,0.00022369136326970927
-8.89985059140712,0.00022982654253811234
-8.89055520140549,0.0002359203475730664
-8.881259811403861,0.00024196280646567384
-8.87196442140223,0.0002479440441941552
-8.862669031400602,0.00025385432561050685
-8.853373641398973,0.0002596840983087687
-8.844078251397343,0.0002654240351348692
-8.834782861395713,0.00027106507609665417
-8.825487471394084,0.0002765984694377277
-8.816192081392455,0.0002820158116427166
-8.806896691390826,0.0002873090861470395
-8.797601301389195,0.0002924707005326592
-8.788305911387566,0.00029749352200007535
-8.779010521385937,0.0003023709109160385
-8.769715131384308,0.0003070967522493147
-8.760419741382677,0.00031166548471730626
-8.751124351381048,0.00031607212748101503
-8.741828961379419,0.0003203123042392498
-8.73253357137779,0.00032438226458743596
-8.723238181376159,0.0003282789025231981
-8.71394279137453,0.0003319997719944635
-8.7046474013729,0.00033554309940495713
-8.69535201137127,0.0003389077930061007
-8.68605662136964,0.00034209344912343453
-8.676761231368012,0.0003451003551814182
-8.667465841366383,0.00034792948950811923
-8.658170451364752,0.0003505825179191801
-8.648875061363123,0.0003530617870968547
-8.639579671361494,0.00035537031479756023
-8.630284281359865,0.00035751177693866404
-8.620988891358234,0.0003594904916313698
-8.611693501356605,0.00036131140024365377
-8.602398111354976,0.0003629800455932225
-8.593102721353347,0.0003645025473863802
-8.583807331351716,0.0003658855750335293
-8.574511941350087,0.00036713631798734013
-8.565216551348458,0.0003682624537637482
-8.555921161346829,0.00036927211381820695
-8.546625771345198,0.0003701738474643154
-8.537330381343569,0.0003709765840313496
-8.52803499134194,0.0003716895934690375
-8.51873960134031,0.0003723224456182294
-8.50944421133868,0.0003728849683723133
-8.500148821337051,0.00037338720496323755
-8.490853431335422,0.0003738393706112092
-8.481558041333791,0.00037425180878000383
-8.472262651332162,0.00037463494728402335
-8.462967261330533,0.0003749992544930126
-8.453671871328904,0.00037535519587929625
-8.444376481327273,0.0003757131911501189
-8.435081091325644,0.0003760835722026023
-8.425785701324015,0.00037647654213209935
-8.416490311322386,0.0003769021355159441
-8.407194921320755,0.00037737018018497385
-8.397899531319126,0.0003778902606815537
-8.388604141317497,0.00037847168358926073
-8.379308751315868,0.000379123444903109
-8.370013361314237,0.0003798541995920007
-8.360717971312608,0.00038067223348456185
-8.35142258131098,0.0003815854375908822
-8.34212719130935,0.0003826012849490676
-8.33283180130772,0.00038372681006398034
-8.32353641130609,0.0003849685909819399
-8.314241021304461,0.00038633273402019844
-8.30494563130283,0.0003878248611480749
-8.295650241301201,0.0003894500999900557
-8.286354851299572,0.0003912130763991106
-8.277059461297943,0.00039311790952462934
-8.267764071296313,0.00039516820927825574
-8.258468681294683,0.0003973670760783251
-8.249173291293054,0.00039971710273562465
-8.239877901291425,0.0004022203783257544
-8.230582511289795,0.0004048784938759462
-8.221287121288166,0.0004076925496836314
-8.211991731286536,0.000410663164070766
-8.202696341284907,0.0004137904833713315
-8.193400951283277,0.0004170741929436436
-8.184105561281648,0.0004205135289960943
-8.174810171280019,0.0004241072910165164
-8.16551478127839,0.0004278538545980674
-8.156219391276759,0.00043175118446089466
-8.14692400127513,0.00043579684747943603
-8.1376286112735,0.00043998802553571557
-8.12833322127187,0.0004443215280359354
-8.11903783127024,0.0004487938039428284
-8.109742441268612,0.0004534009531984226
-8.100447051266983,0.0004581387374314079
-8.091151661265352,0.00046300258986860243
-8.081856271263723,0.00046798762439347746
-8.072560881262094,0.0004730886437221719
-8.063265491260465,0.0004783001466925063
-8.053970101258834,0.00048361633469030073
-8.044674711257205,0.000489031117263148
-8.035379321255576,0.0004945381169986166
-8.026083931253947,0.0005001306737698816
-8.016788541252316,0.0005058018484764455
-8.007493151250687,0.0005115444264294552
-7.998197761249058,0.0005173509205536175
-7.988902371247428,0.000523213574594894
-7.979606981245799,0.0005291243665401565
-7.970311591244169,0.0005350750124675976
-7.961016201242539,0.0005410569710564278
-7.95172081124091,0.0005470614489917897
-7.94242542123928,0.0005530794075025228
-7.933130031237651,0.0005591015702700892
-7.923834641236021,0.0005651184329417396
-7.914539251234392,0.000571120274473022
-7.905243861232762,0.0005770971705127189
-7.895948471231133,0.0005830390090282179
-7.886653081229503,0.0005889355083489789
-7.877357691227874,0.0005947762377845837
-7.868062301226244,0.0006005506409465268
-7.858766911224615,0.0006062480618754633
-7.849471521222985,0.0006118577740427357
-7.840176131221356,0.0006173690122625378
-7.830880741219726,0.0006227710075145231
-7.821585351218097,0.00062805302463881
-7.812289961216467,0.0006332044028281789
-7.802994571214838,0.000638214598801261
-7.793699181213208,0.0006430732325023447
-7.784403791211579,0.0006477701351330356
-7.775108401209949,0.0006522953992831228
-7.765813011208319,0.0006566394308896474
-7.75651762120669,0.0006607930027179316
-7.74722223120506,0.0006647473090240549
-7.737926841203431,0.0006684940210273816
-7.728631451201801,0.0006720253427926048
-7.719336061200172,0.0006753340670968468
-7.710040671198542,0.0006784136308355289
-7.700745281196913,0.0006812581695034674
-7.691449891195283,0.0006838625702756014
-7.682154501193654,0.0006862225232025128
-7.672859111192024,0.0006883345700345322
-7.663563721190395,0.0006901961501877014
-7.654268331188765,0.0006918056433740417
-7.644972941187136,0.000693162408429487
-7.635677551185506,0.0006942668178904227
-7.626382161183877,0.0006951202878933398
-7.617086771182247,0.000695725302998277
-7.607791381180618,0.000696085435571047
-7.598495991178988,0.0006962053593954865
-7.589200601177359,0.0006960908572293048
-7.5799052111757295,0.0006957488220629068
-7.5706098211740995,0.0006951872518910903
-7.5613144311724705,0.0006944152378590852
-7.5520190411708406,0.0006934429457026185
-7.5427236511692115,0.0006922815904579355
-7.533428261167582,0.0006909434044802473
-7.5241328711659525,0.0006894415988689196
-7.514837481164323,0.0006877903184613022
-7.5055420911626936,0.0006860045906189891
-7.496246701161064,0.0006841002680930989
-7.486951311159435,0.0006820939663148133
-7.477655921157805,0.0006800029955178147
-7.468360531156176,0.0006778452881549984
-7.459065141154546,0.0006756393221258145
-7.449769751152917,0.0006734040403809027
-7.440474361151287,0.0006711587675156724
-7.431178971149658,0.000668923124006036
-7.421883581148028,0.0006667169387750521
-7.412588191146399,0.0006645601608090449
-7.403292801144769,0.0006624727705651216
-7.393997411143139,0.0006604746919297354
-7.38470202114151,0.0006585857054972842
-7.37540663113988,0.0006568253639415093
-7.366111241138251,0.0006552129102471756
-7.356815851136621,0.0006537671995585561
-7.347520461134992,0.0006525066253813596
-7.338225071133362,0.0006514490508471226
-7.328929681131733,0.0006506117457170475
-7.319634291130103,0.0006500113297574115
-7.310338901128474,0.0006496637230734517
-7.301043511126844,0.0006495841039311746
-7.291748121125215,0.0006497868745361655
-7.282452731123585,0.0006502856351713981
-7.273157341121956,0.000651093167023289
-7.263861951120326,0.0006522214239482163
-7.254566561118697,0.0006536815333517831
-7.245271171117067,0.0006554838062671064
-7.235975781115438,0.0006576377566340524
-7.226680391113808,0.0006601521296908664
-7.217385001112179,0.0006630349393022954
-7.208089611110549,0.0006662935139576479
-7.198794221108919,0.0006699345510851312
-7.18949883110729,0.0006739641792415376
-7.18020344110566,0.0006783880276527255
-7.170908051104031,0.0006832113024998181
-7.161612661102401,0.0006884388692697573
-7.152317271100772,0.000694075340417882
-7.143021881099142,0.0007001251675252326
-7.133726491097513,0.0007065927370738306
-7.124431101095883,0.000713482468912641
-7.115135711094254,0.0007207989164429805
-7.105840321092624,0.0007285468675163557
-7.096544931090995,0.0007367314450120281
-7.087249541089365,0.0007453582060432257
-7.077954151087736,0.0007544332387341606
-7.068658761086106,0.000763963255509606
-7.059363371084477,0.0007739556818521674
-7.050067981082847,0.0007844187395014144
-7.040772591081218,0.0007953615231000859
-7.031477201079588,0.0008067940693325458
-7.022181811077959,0.0008187274176479509
-7.012886421076329,0.0008311736617198588
-7.003591031074699,0.0008441459908575246
-6.99429564107307,0.0008576587206583757
-6.98500025107144,0.0008717273122705502
-6.975704861069811,0.000886368379721651
-6.966409471068181,0.0009015996848599299
-6.957114081066552,0.0009174401195532122
-6.9478186910649224,0.0009339096748890265
-6.938523301063293,0.0009510293972249551
-6.9292279110616635,0.0009688213310426244
-6.919932521060034,0.000987308448666316
-6.9106371310584045,0.0010065145670145664
-6.9013417410567754,0.0010264642516597039
-6.8920463510551455,0.0010471827085755006
-6.8827509610535165,0.0010686956640564068
-6.8734555710518865,0.0010910292333915208
-6.8641601810502575,0.0011142097789721582
-6.854864791048628,0.0011382637586040282
-6.8455694010469985,0.0011632175648799616
-6.836274011045369,0.0011890973565498487
-6.826978621043739,0.0012159288828980236
-6.81768323104211,0.0012437373022042694
-6.80838784104048,0.001272546995424834
-6.799092451038851,0.0013023813762798363
-6.789797061037221,0.0013332626989783613
-6.780501671035592,0.0013652118648464434
-6.771206281033962,0.0013982482291503154
-6.761910891032333,0.0014323894094262642
-6.752615501030703,0.0014676510966365203
-6.743320111029074,0.001504046870474228
-6.734024721027444,0.001541588020131564
-6.724729331025815,0.0015802833718314632
-6.715433941024185,0.0016201391243988255
-6.706138551022556,0.0016611586941176443
-6.696843161020926,0.0017033425700805514
-6.687547771019297,0.0017466881811925624
-6.678252381017667,0.0017911897759375962
-6.668956991016038,0.0018368383159569055
-6.659661601014408,0.0018836213844232773
-6.650366211012779,0.0019315231101228597
-6.641070821011149,0.001980524108079534
-6.631775431009519,0.0020306014374737776
-6.62248004100789,0.0020817285775211213
-6.61318465100626,0.0021338754218827626
-6.603889261004631,0.0021870082920850222
-6.594593871003001,0.0022410899703241486
-6.585298481001372,0.0022960797519296534
-6.576003090999742,0.0023519335176525533
-6.566707700998113,0.0024086038258355506
-6.557412310996483,0.002466040024410732
-6.548116920994854,0.0025241883825566297
-6.538821530993224,0.002582992241731305
-6.529526140991595,0.0026423921856819597
-6.520230750989965,0.002702326228915159
-6.510935360988336,0.002762730022993846
-6.501639970986706,0.0028235370799123416
-6.492344580985077,0.0028846790116830805
-6.483049190983447,0.0029460857851567393
-6.473753800981818,0.0030076859909837377
-6.464458410980188,0.0030694071255171437
-6.455163020978558,0.0031311758843509006
-6.445867630976929,0.003192918466085946
-6.436572240975299,0.003254560884819952
-6.42727685097367,0.00331602928976557
-6.41798146097204,0.0033772502903182317
-6.408686070970411,0.003438151284816342
-6.399390680968781,0.0034986607911678402
-6.390095290967152,0.0035587087774573323
-6.380799900965522,0.0036182269905966425
-6.371504510963893,0.0036771492810407512
-6.362209120962263,0.003735411921563667
-6.352913730960634,0.0037929539180688214
-6.343618340959004,0.0038497173104061672
-6.334322950957375,0.0039056474611740806
-6.325027560955745,0.003960693330507448
-6.315732170954116,0.004014807734888083
-6.306436780952486,0.004067947588064131
-6.297141390950857,0.004120074122229575
-6.287846000949227,0.004171153087695042
-6.278550610947598,0.004221154929374143
-6.269255220945968,0.004270054938520237
-6.2599598309443385,0.004317833378270362
-6.2506644409427095,0.004364475581692009
-6.2413690509410795,0.0044099720211785015
-6.2320736609394505,0.00445431834820403
-6.2227782709378205,0.004497515402624759
-6.2134828809361915,0.004539569190901347
-6.204187490934562,0.00458049083281502
-6.1948921009329325,0.004620296476457703
-6.185596710931303,0.004659007181490676
-6.1763013209296735,0.0046966487708882294
-6.167005930928044,0.004733251651608669
-6.157710540926415,0.004768850604864488
-6.148415150924785,0.004803484546894598
-6.139119760923156,0.004837196261372247
-6.129824370921526,0.0048700321048107
-6.120528980919897,0.004902041686553599
-6.111233590918267,0.004933277525155546
-6.101938200916638,0.004963794683169334
-6.092642810915008,0.004993650382557509
-6.083347420913379,0.005022903603135318
-6.074052030911749,0.00505161466662795
-6.064756640910119,0.005079844809086161
-6.05546125090849,0.005107655744547037
-6.04616586090686,0.005135109222952636
-6.036870470905231,0.005162266585443088
-6.027575080903601,0.005189188320224577
-6.018279690901972,0.005215933622272435
-6.008984300900342,0.005242559960166694
-5.999688910898713,0.005269122653368313
-5.990393520897083,0.0052956744632314985
-5.981098130895454,0.005322265201006806
-5.971802740893824,0.005348941356024162
-5.962507350892195,0.00537574574715241
-5.953211960890565,0.005402717200513056
-5.943916570888936,0.005429890256281535
-5.934621180887306,0.005457294907239292
-5.925325790885677,0.005484956371545785
-5.916030400884047,0.005512894901982186
-5.906735010882418,0.0055411256336785186
-5.897439620880788,0.005569658472076003
-5.888144230879158,0.005598498022597456
-5.878848840877529,0.005627643563202792
-5.869553450875899,0.005657089060696004
-5.86025806087427,0.005686823231327015
-5.85096267087264,0.005716829645898847
-5.841667280871011,0.0057470868792498745
-5.832371890869381,0.005777568703635871
-5.823076500867752,0.005808244325189305
-5.813781110866122,0.005839078662287084
-5.804485720864493,0.00587003266431516
-5.795190330862863,0.00590106366898299
-5.785894940861234,0.005932125796014379
-5.776599550859604,0.005963170374726908
-5.767304160857975,0.005994146402714619
-5.758008770856345,0.006025001032566805
-5.748713380854716,0.006055680083296228
-5.739417990853086,0.0060861285729128575
-5.730122600851457,0.006116291268366279
-5.720827210849827,0.006146113248896714
-5.711531820848198,0.006175540478677076
-5.702236430846568,0.0062045203845045565
-5.692941040844938,0.006233002434207724
-5.683645650843309,0.006260938711373893
-5.674350260841679,0.0062882844819773
-5.66505487084005,0.006314998748497267
-5.65575948083842,0.006341044787157827
-5.646464090836791,0.006366390664000495
-5.637168700835161,0.00639100972561324
-5.627873310833532,0.006414881060485329
-5.618577920831902,0.00643798992713697
-5.609282530830273,0.006460328145382633
-5.5999871408286435,0.0064818944473283525
-5.590691750827014,0.006502694784970302
-5.5813963608253845,0.006522742591558098
-5.572100970823755,0.006542058994204488
-5.5628055808221255,0.006560672975561736
-5.5535101908204965,0.006578621482746355
-5.5442148008188665,0.006595949482065469
