Values,Density
-7.17102000109631,2.2987857552919655e-7
-7.16543040768853,2.3609008729247316e-7
-7.15984081428075,2.4863604702884956e-7
-7.15425122087297,2.677616083648915e-7
-7.14866162746519,2.9383781036812495e-7
-7.143072034057409,3.273654995347708e-7
-7.13748244064963,3.6898054039946615e-7
-7.13189284724185,4.1946029307599053e-7
-7.126303253834069,4.79731334400435e-7
-7.12071366042629,5.508783871427392e-7
-7.11512406701851,6.341544169508051e-7
-7.109534473610729,7.309918433756613e-7
-7.103944880202949,8.430148025206918e-7
-7.09835528679517,9.720523824474636e-7
-7.092765693387389,1.1201527404386402e-6
-7.087176099979609,1.2895979921850875e-6
-7.0815865065718295,1.4829197459292898e-6
-7.075996913164049,1.7029151329617243e-6
-7.070407319756269,1.952663166257529e-6
-7.064817726348489,2.2355412331309665e-6
-7.059228132940709,2.555241506094208e-6
-7.053638539532929,2.915787028268113e-6
-7.0480489461251485,3.3215472062808615e-6
-7.042459352717368,3.7772524147244857e-6
-7.036869759309589,4.288007392869164e-6
-7.0312801659018085,4.859303086982014e-6
-7.025690572494028,5.49702656939266e-6
-7.020100979086249,6.207468642244196e-6
-7.014511385678468,6.997328715729889e-6
-7.008921792270688,7.873716533726705e-6
-7.003332198862908,8.844150308107146e-6
-6.997742605455128,9.916550816654879e-6
-6.992153012047348,1.1099231016945682e-5
-6.986563418639568,1.2400880734467212e-5
-6.980973825231788,1.3830545995182492e-5
-6.975384231824008,1.5397602591456228e-5
-6.969794638416228,1.7111723500679715e-5
-6.964205045008447,1.898283981082924e-5
-6.958615451600668,2.1021094855001865e-5
-6.953025858192888,2.3236791312959e-5
-6.947436264785107,2.564033110363448e-5
-6.941846671377328,2.8242147967670606e-5
-6.936257077969548,3.105263272606268e-5
-6.930667484561767,3.408205129268663e-5
-6.925077891153987,3.734045562476737e-5
-6.9194882977462076,4.0837587903450046e-5
-6.913898704338427,4.458277835482985e-5
-6.908309110930647,4.858483724498597e-5
-6.9027195175228675,5.285194170803753e-5
-6.897129924115087,5.7391518194113006e-5
