Values,Density
-8.13261572472438,1.294387472761116e-7
-8.124804785629012,1.3065351228691569e-7
-8.116993846533644,1.3319185912519238e-7
-8.109182907438276,1.3707175522403858e-7
-8.101371968342908,1.4232099963817912e-7
-8.093561029247542,1.4897732403262864e-7
-8.085750090152175,1.5708853316753757e-7
-8.077939151056807,1.6671268474044432e-7
-8.070128211961439,1.779183081418445e-7
-8.062317272866071,1.9078466179101028e-7
-8.054506333770703,2.0540202821939246e-7
-8.046695394675336,2.218720468599722e-7
-8.038884455579968,2.4030808348785015e-7
-8.0310735164846,2.6083563559042844e-7
-8.023262577389234,2.8359277334799593e-7
-8.015451638293866,3.087306142679491e-7
-8.007640699198499,3.364138321249044e-7
-7.999829760103131,3.668211970564439e-7
-7.992018821007763,4.0014614723082875e-7
-7.984207881912395,4.3659738947765536e-7
-7.976396942817027,4.7639952835409893e-7
-7.9685860037216605,5.197937206491421e-7
-7.960775064626293,5.670383547845548e-7
-7.952964125530925,6.184097516570564e-7
-7.945153186435557,6.742028857420479e-7
-7.937342247340189,7.347321228923231e-7
-7.929531308244822,8.003319732635683e-7
-7.921720369149455,8.713578547314693e-7
-7.913909430054087,9.48186865537548e-7
-7.906098490958719,1.0312185606542457e-6
-7.898287551863352,1.1208757296210514e-6
-7.890476612767984,1.2176051713136404e-6
-7.882665673672617,1.3218784605147083e-6
-7.874854734577249,1.434192703366529e-6
-7.867043795481881,1.5550712752008915e-6
-7.859232856386514,1.685064536443865e-6
-7.851421917291146,1.8247505210035146e-6
-7.843610978195779,1.9747355912915106e-6
-7.835800039100411,2.1356550539140037e-6
-7.827989100005043,2.3081737297041445e-6
-7.820178160909676,2.4929864716328846e-6
-7.812367221814308,2.6908186237812465e-6
-7.8045562827189405,2.9024264144375533e-6
-7.796745343623573,3.128597275819109e-6
-7.788934404528206,3.3701500832586904e-6
-7.781123465432838,3.62793530631067e-6
-7.77331252633747,3.9028350636211885e-6
-7.7655015872421025,4.19576307432272e-6
-7.757690648146735,4.5076644974518035e-6
-7.749879709051368,4.839515651862327e-6
-7.742068769956,5.192323608380978e-6
-7.734257830860632,5.567125646524377e-6
-7.7264468917652644,5.964988567534377e-6
-7.7186359526698975,6.387007856730083e-6
-7.71082501357453,6.8343066868927285e-6
-7.703014074479162,7.3080347557264325e-6
-7.695203135383794,7.809366950943812e-6
-7.687392196288426,8.339501835286762e-6
-7.6795812571930595,8.899659946285917e-6
-7.671770318097692,9.491081904373835e-6
-7.663959379002324,1.0115026324874349e-5
-7.656148439906956,1.0772767528519187e-5
-7.648337500811589,1.1465593047054281e-5
-7.6405265617162215,1.2194800921213776e-5
-7.632715622620854,1.2961696787688881e-5
-7.624904683525486,1.3767590754633179e-5
-7.617093744430118,1.4613794065025231e-5
-7.609282805334751,1.5501615547736276e-5
-7.601471866239383,1.643235785874853e-5
-7.593660927144016,1.7407313514737274e-5
-7.585849988048648,1.8427760722783924e-5
-7.57803904895328,1.949495901194375e-5
-7.570228109857913,2.0610144672015586e-5
-7.562417170762545,2.177452600845729e-5
-7.554606231667178,2.2989278421182546e-5
-7.54679529257181,2.425553931861184e-5
-7.538984353476443,2.55744028784732e-5
-7.531173414381075,2.694691466840083e-5
-7.523362475285707,2.8374066141267223e-5
-7.5155515361903396,2.9856789020910003e-5
-7.507740597094972,3.139594959646378e-5
-7.499929657999605,3.2992342943354404e-5
-7.492118718904237,3.4646687091597315e-5
-7.484307779808869,3.635961716308466e-5
-7.4764968407135015,3.813167950046962e-5
-7.468685901618135,3.996332581149937e-5
-7.460874962522767,4.185490735493383e-5
-7.453064023427399,4.3806669192737865e-5
-7.445253084332031,4.5818744537715105e-5
-7.4374421452366635,4.789114922291635e-5
-7.429631206141297,5.0023776323214e-5
-7.421820267045929,5.2216390957284236e-5
-7.414009327950561,5.446862530143325e-5
-7.406198388855193,5.677997384447779e-5
-7.398387449759825,5.9149788914962965e-5
-7.3905765106644585,6.157727651196192e-5
-7.382765571569091,6.406149246884329e-5
-7.374954632473723,6.660133898189974e-5
-7.367143693378355,6.91955615329011e-5
-7.359332754282988,7.184274623540715e-5
-7.3515218151876205,7.454131763316761e-5
-7.343710876092253,7.728953697894452e-5
-7.335899936996885,8.008550101940427e-5
-7.328088997901517,8.292714131207034e-5
-7.32027805880615,8.581222409739103e-5
-7.3124671197107824,8.873835074868367e-5
-7.304656180615415,9.170295881902584e-5
-7.296845241520047,9.470332370431055e-5
-7.28903430242468,9.773656093743188e-5
-7.281223363329312,0.00010079962912779841
-7.273412424233944,0.00010388933355655154
-7.265601485138577,0.00010700233043632232
-7.257790546043209,0.00011013513184097534
-7.249979606947842,0.00011328411130791987
-7.242168667852474,0.00011644551011276449
-7.234357728757106,0.00011961544421305111
-7.226546789661739,0.00012278991185446183
-7.218735850566371,0.00012596480182989036
-7.210924911471004,0.0001291359023783867
-7.203113972375636,0.00013229891070799847
-7.195303033280268,0.00013544944312343914
-7.1874920941849005,0.00013858304573497468
-7.179681155089534,0.000141695205724482
-7.171870215994166,0.0001447813631382795
-7.164059276898798,0.0001478369231762537
-7.15624833780343,0.00015085726894160023
-7.1484373987080625,0.0001538377746143711
-7.140626459612696,0.00015677381900860488
-7.132815520517328,0.00015966079947000964
-7.12500458142196,0.00016249414607006737
-7.117193642326592,0.00016526933604890082
-7.109382703231225,0.00016798190845860076
-7.101571764135858,0.00017062747895610857
-7.09376082504049,0.0001732017546935958
-7.085949885945122,0.00017570054925369316
-7.078138946849754,0.00017811979757482364
-7.070328007754387,0.00018045557081246174
-7.0625170686590195,0.00018270409108085635
-7.054706129563652,0.00018486174601989249
-7.046895190468284,0.0001869251031322741
-7.039084251372917,0.00018889092383637712
-7.031273312277549,0.00019075617718051043
-7.0234623731821815,0.0001925180531661125
-7.015651434086814,0.0001941739756278274
-7.007840494991446,0.00019572161462103835
-7.000029555896079,0.00019715889826762327
-6.992218616800711,0.0001984840240145723
-6.984407677705343,0.00019969546926098072
-6.976596738609976,0.0002007920013121162
-6.968785799514608,0.00020177268662165517
-6.960974860419241,0.00020263689928649246
-6.953163921323873,0.00020338432876069882
-6.945352982228505,0.00020401498675971515
-6.937542043133138,0.00020452921332773217
-6.929731104037771,0.00020492768204601096
-6.921920164942403,0.00020521140436196563
-6.914109225847035,0.00020538173302427033
-6.906298286751667,0.00020544036461054866
-6.8984873476563,0.00020538934114013984
-6.890676408560933,0.00020523105076638301
-6.882865469465565,0.0002049682275472543
-6.875054530370197,0.0002046039502961311
-6.867243591274829,0.0002041416405194074
-6.859432652179462,0.00020358505944832804
-6.851621713084095,0.00020293830417839097
-6.843810773988727,0.00020220580293186185
-6.835999834893359,0.0002013923094604036
-6.828188895797991,0.00020050289661042238
-6.820377956702624,0.00019954294907354895
-6.812567017607257,0.00019851815534945808
-6.804756078511889,0.0001974344989484145
-6.796945139416521,0.00019629824886453979
-6.789134200321153,0.00019511594935143497
-6.781323261225786,0.00019389440903415248
-6.7735123221304185,0.00019264068939211284
-6.765701383035051,0.00019136209264929952
-6.757890443939683,0.000190066149108342
-6.750079504844316,0.00018876060396627896
-6.742268565748948,0.00018745340364973383
-6.7344576266535805,0.00018615268170759747
-6.726646687558213,0.00018486674429959277
-6.718835748462845,0.00018360405531812419
-6.711024809367478,0.0001823732211814811
-6.70321387027211,0.0001811829753350625
-6.6954029311767425,0.0001800421624966672
-6.687591992081375,0.00017895972268175278
-6.679781052986008,0.00017794467504274629
-6.67197011389064,0.0001770061015555686
-6.664159174795272,0.00017615313058613573
-6.656348235699904,0.00017539492036754102
-6.648537296604537,0.00017474064241728652
-6.64072635750917,0.000174199464923642
-6.632915418413802,0.00017378053612778833
-6.625104479318434,0.00017349296772777305
-6.617293540223066,0.00017334581832908688
-6.609482601127699,0.00017334807696468683
-6.601671662032332,0.0001735086467075167
