Values,Density
-5.133954502908907,1.9378135690528708e-7
-5.128579117284808,1.9621437633010608e-7
-5.123203731660709,2.0072776812929405e-7
-5.117828346036611,2.0735924599613043e-7
-5.112452960412512,2.1616289250236953e-7
-5.107077574788414,2.2720944001242138e-7
-5.101702189164315,2.405866221799613e-7
-5.096326803540216,2.563995994964152e-7
-5.090951417916118,2.7477145780885337e-7
-5.085576032292019,2.958437795297364e-7
-5.080200646667921,3.1977728973120456e-7
-5.074825261043822,3.46752574764686e-7
-5.069449875419723,3.769708758483148e-7
-5.064074489795624,4.1065495598457957e-7
-5.058699104171526,4.480500407355592e-7
-5.053323718547428,4.894248325504336e-7
-5.047948332923329,5.350725984232252e-7
-5.04257294729923,5.853123300203489e-7
-5.037197561675131,6.404899757228577e-7
-5.031822176051033,7.009797442503185e-7
-5.0264467904269345,7.671854776181153e-7
-5.021071404802836,8.395420931783804e-7
-5.015696019178737,9.185170930237074e-7
-5.010320633554638,1.0046121386164675e-6
-5.00494524793054,1.098364688173481e-6
-4.9995698623064415,1.2003496962509352e-6
-4.994194476682343,1.3111813697286312e-6
-4.988819091058244,1.4315149806098937e-6
-4.983443705434145,1.5620487293366292e-6
-4.978068319810047,1.7035256560382628e-6
-4.9726929341859485,1.8567355959397958e-6
-4.96731754856185,2.0225171735999137e-6
-4.961942162937751,2.20175983011231e-6
-4.956566777313652,2.3954058800787666e-6
-4.951191391689554,2.6044525899115295e-6
-4.9458160060654555,2.829954272368356e-6
-4.940440620441357,3.0730243900734325e-6
-4.935065234817258,3.334837660890974e-6
-4.929689849193159,3.616632156370342e-6
-4.92431446356906,3.919711386122116e-6
-4.918939077944962,4.2454463581634815e-6
-4.913563692320864,4.595277606896705e-6
-4.908188306696765,4.970717177965427e-6
-4.902812921072666,5.373350560606508e-6
-4.897437535448567,5.804838556487148e-6
-4.892062149824469,6.266919074017843e-6
-4.886686764200371,6.761408836587074e-6
-4.881311378576272,7.290204993262023e-6
-4.875935992952173,7.855286619807937e-6
-4.870560607328074,8.458716097694413e-6
-4.865185221703976,9.102640358298053e-6
-4.859809836079878,9.789291980184453e-6
-4.854434450455779,1.0520990125946483e-5
-4.84905906483168,1.1300141306356919e-5
-4.843683679207581,1.2129239958388709e-5
-4.838308293583483,1.301086882498411e-5
-4.832932907959385,1.3947699122869237e-5
-4.827557522335286,1.4942490487107954e-5
-4.822182136711187,1.599809067932747e-5
-4.816806751087088,1.7117435048379787e-5
-4.81143136546299,1.8303545731546654e-5
-4.8060559798388915,1.9559530585826733e-5
-4.800680594214793,2.0888581838469054e-5
-4.795305208590694,2.2293974448608228e-5
-4.789929822966595,2.377906416903882e-5
-4.784554437342496,2.5347285302019205e-5
-4.7791790517183985,2.700214814153369e-5
-4.7738036660943,2.874723609533683e-5
-4.768428280470201,3.058620248323936e-5
-4.763052894846102,3.252276700682795e-5
-4.757677509222003,3.4560711888924e-5
-4.7523021235979055,3.6703877680841976e-5
-4.746926737973807,3.895615873913787e-5
-4.741551352349708,4.132149837180084e-5
-4.736175966725609,4.3803883658839055e-5
-4.73080058110151,4.640733995051917e-5
-4.7254251954774125,4.9135925051537604e-5
-4.720049809853314,5.1993723096952285e-5
-4.714674424229215,5.498483813163105e-5
-4.709299038605116,5.811338740252872e-5
-4.703923652981017,6.138349437948866e-5
-4.698548267356919,6.47992815162781e-5
-4.693172881732821,6.836486277095842e-5
-4.687797496108722,7.208433590139528e-5
-4.682422110484623,7.596177455745229e-5
-4.677046724860524,8.000122018961622e-5
-4.671671339236426,8.420667379820113e-5
-4.666295953612328,8.858208754581459e-5
-4.660920567988229,9.313135625971247e-5
-4.65554518236413,9.785830885180626e-5
-4.650169796740031,0.00010276669968155988
-4.6447944111159325,0.00010786019989466288
-4.639419025491835,0.00011314238876529784
-4.634043639867736,0.00011861674507362627
-4.628668254243637,0.00012428663855173008
-4.623292868619538,0.00013015532142866826
-4.6179174829954395,0.0001362259201095426
-4.612542097371342,0.00014250142702076918
-4.607166711747243,0.0001489846926564075
-4.601791326123144,0.00015567841785799237
-4.596415940499045,0.00016258514636336395
-4.5910405548749464,0.00016970725765649668
-4.5856651692508485,0.00017704696015191645
-4.58028978362675,0.00018460628474734758
-4.574914398002651,0.00019238707877463138
-4.569539012378552,0.00020039100038277483
-4.564163626754453,0.00020861951338004697
-4.5587882411303555,0.0002170738825678746
-4.553412855506257,0.00022575516959150513
-4.548037469882158,0.00023466422933632845
-4.542662084258059,0.00024380170689336164
-4.53728669863396,0.0002531680351186491
-4.5319113130098625,0.000262763432808847
-4.526535927385764,0.0002725879035117059
-4.521160541761665,0.000282641234992392
-4.515785156137566,0.00029292299937009117
-4.510409770513467,0.0003034325539412741
-4.505034384889369,0.0003141690427013368
-4.499658999265271,0.00032513139857688264
-4.494283613641172,0.0003363183463756022
-4.488908228017073,0.0003477284064623658
-4.483532842392974,0.00035935989916581305
-4.4781574567688756,0.0003712109499176223
-4.472782071144778,0.0003832794951268738
-4.467406685520679,0.00039556328878694383
-4.46203129989658,0.00040805990981342653
-4.456655914272481,0.00042076677010727606
-4.4512805286483825,0.0004336811233377723
-4.445905143024285,0.0004468000744358488
-4.440529757400186,0.00046012058978951893
-4.435154371776087,0.0004736395081284626
-4.429778986151988,0.00048735355208558845
-4.4244036005278895,0.000501259340421752
-4.419028214903792,0.0005153534008966072
-4.413652829279693,0.000529632183769873
-4.408277443655594,0.0005440920759140766
-4.402902058031495,0.0005587294155195398
-4.3975266724073965,0.00057354050737176
-4.392151286783298,0.0005885216386785561
-4.3867759011592,0.0006036690954257795
-4.381400515535101,0.0006189791792375679
-4.376025129911002,0.0006344482247170914
-4.3706497442869034,0.0006500726172423248
-4.365274358662805,0.0006658488111915065
-4.359898973038707,0.0006817733485710332
-4.354523587414608,0.0006978428780179992
-4.349148201790509,0.000714054174149225
-4.34377281616641,0.0007304041572275786
-4.338397430542312,0.0007468899131145186
-4.333022044918214,0.000763508713477995
-4.327646659294115,0.0007802580362242691
-4.322271273670016,0.0007971355861188349
-4.316895888045917,0.0008141393155633447
-4.311520502421819,0.0008312674454924104
-4.306145116797721,0.0008485184863534084
-4.300769731173622,0.0008658912591311581
-4.295394345549523,0.0008833849163782589
-4.290018959925424,0.0009009989632090161
-4.284643574301326,0.0009187332782154348
-4.279268188677228,0.0009365881342602612
-4.273892803053129,0.0009545642191005135
-4.26851741742903,0.0009726626557949869
-4.263142031804931,0.0009908850228444663
-4.257766646180833,0.0010092333740132596
-4.252391260556734,0.0010277102577792366
-4.247015874932636,0.001046318736355533
-4.241640489308537,0.0010650624042262066
-4.236265103684438,0.0010839454061370782
-4.2308897180603395,0.0011029724544784243
-4.225514332436241,0.0011221488459968627
-4.220138946812143,0.0011414804777698413
-4.214763561188044,0.0011609738623757672
-4.209388175563945,0.0011806361421895575
-4.2040127899398465,0.001200475102733474
-4.198637404315748,0.0012204991850094105
-4.19326201869165,0.0012407174967397488
-4.187886633067551,0.0012611398224414185
-4.182511247443452,0.001281776632256263
-4.1771358618193535,0.0013026390894624422
-4.171760476195255,0.0013237390565881482
-4.166385090571157,0.00134508910005127
-4.161009704947058,0.0013667024932473015
-4.155634319322959,0.001388593218009191
-4.1502589336988605,0.001410775964362742
-4.144883548074762,0.0014332661285035193
-4.139508162450664,0.001456079808921762
-4.134132776826565,0.001479233800604652
-4.128757391202466,0.0015027455872473443
-4.123382005578367,0.0015266333314070332
-4.118006619954269,0.0015509158625380479
-4.11263123433017,0.001575612662849106
