Values,Density
-13.120597589157839,4.814826242566239e-7
-13.108448003153782,4.831125588120044e-7
-13.096298417149725,4.864891001848948e-7
-13.08414883114567,4.916208362071295e-7
-13.071999245141614,4.985209832858439e-7
-13.059849659137557,5.072074041184704e-7
-13.0477000731335,5.17702632298056e-7
-13.035550487129445,5.300339036493074e-7
-13.023400901125388,5.442331946145518e-7
-13.011251315121331,5.603372673843032e-7
-12.999101729117275,5.783877217932498e-7
-12.98695214311322,5.984310541273796e-7
-12.974802557109163,6.205187225646891e-7
-12.962652971105106,6.447072193743741e-7
-12.95050338510105,6.710581499855262e-7
-12.938353799096994,6.996383183979771e-7
-12.926204213092937,7.305198196014273e-7
-12.91405462708888,7.637801382326392e-7
-12.901905041084824,7.995022540674412e-7
-12.889755455080769,8.377747537369196e-7
-12.877605869076712,8.786919491812761e-7
-12.865456283072655,9.223540022307297e-7
-12.853306697068598,9.688670557228551e-7
-12.841157111064543,1.018343370670638e-6
-12.829007525060486,1.0709014699045172e-6
-12.81685793905643,1.1266662874806488e-6
-12.804708353052373,1.1857693244868295e-6
-12.792558767048318,1.2483488104481077e-6
-12.780409181044261,1.3145498709288272e-6
-12.768259595040204,1.3845247004984351e-6
-12.756110009036147,1.4584327417688225e-6
-12.74396042303209,1.5364408694901188e-6
-12.731810837028036,1.6187235804562914e-6
-12.719661251023979,1.7054631883438656e-6
-12.707511665019922,1.7968500238773298e-6
-12.695362079015865,1.8930826399495611e-6
-12.68321249301181,1.9943680213084774e-6
-12.671062907007753,2.1009217992164902e-6
-12.658913321003697,2.2129684703134107e-6
-12.64676373499964,2.330741619756098e-6
-12.634614148995585,2.454484148528384e-6
-12.622464562991528,2.584448504507975e-6
-12.610314976987471,2.7208969170860672e-6
-12.598165390983414,2.8641016352234493e-6
-12.58601580497936,3.0143451686111093e-6
-12.573866218975303,3.171920531662778e-6
-12.561716632971246,3.3371314900111117e-6
-12.549567046967189,3.510292809398227e-6
-12.537417460963134,3.6917305064583864e-6
-12.525267874959077,3.8817821011491015e-6
-12.51311828895502,4.080796870527953e-6
-12.500968702950964,4.289136103459001e-6
-12.488819116946908,4.507173355959527e-6
-12.476669530942852,4.735294706749958e-6
-12.464519944938795,4.973899012655466e-6
-12.452370358934738,5.223398163408223e-6
-12.440220772930683,5.484217335548582e-6
-12.428071186926626,5.756795244681295e-6
-12.41592160092257,6.041584396218082e-6
-12.403772014918513,6.339051333338359e-6
-12.391622428914456,6.6496768825504e-6
-12.3794728429104,6.973956395527731e-6
-12.367323256906344,7.3123999875491456e-6
-12.355173670902287,7.665532771222879e-6
-12.34302408489823,8.033895085521065e-6
-12.330874498894175,8.418042719347211e-6
-12.318724912890119,8.818547129077134e-6
-12.306575326886062,9.23599564958905e-6
-12.294425740882005,9.670991698103662e-6
-12.28227615487795,1.012415497020228e-5
-12.270126568873893,1.059612162771428e-5
-12.257976982869836,1.1087544477271331e-5
-12.24582739686578,1.1599093139549616e-5
-12.233677810861725,1.2131454208164864e-5
-12.221528224857668,1.2685331397655972e-5
-12.209378638853611,1.3261445679890651e-5
-12.197229052849554,1.3860535408355759e-5
-12.1850794668455,1.4483356429521345e-5
-12.172929880841442,1.51306821806977e-5
-12.160780294837386,1.580330377357487e-5
-12.148630708833329,1.6502030063118497e-5
-12.136481122829274,1.7227687700549152e-5
-12.124331536825217,1.7981121170501397e-5
-12.11218195082116,1.8763192810897222e-5
-12.100032364817103,1.9574782815582822e-5
-12.087882778813048,2.0416789218279585e-5
-12.075733192808991,2.1290127858262804e-5
-12.063583606804935,2.219573232585775e-5
-12.051434020800878,2.313455388813692e-5
-12.039284434796821,2.4107561393589593e-5
