Values,Density
-5.27431379093821,1.7185954620524413e-7
-5.268868977667218,1.7370048091547297e-7
-5.263424164396225,1.7737675375717465e-7
-5.2579793511252335,1.8291686898486148e-7
-5.252534537854241,1.9036354806378775e-7
-5.247089724583248,1.9977391407799416e-7
-5.241644911312256,2.1121973647897363e-7
-5.236200098041264,2.2478773464840174e-7
-5.230755284770272,2.4057993999737626e-7
-5.225310471499279,2.5871411732381056e-7
-5.2198656582282865,2.793242438736687e-7
-5.214420844957295,3.0256104538439743e-7
-5.208976031686302,3.2859258988771067e-7
-5.20353121841531,3.576049370235257e-7
-5.198086405144317,3.8980284222667194e-7
-5.1926415918733255,4.2541051506472805e-7
-5.187196778602333,4.646724304502303e-7
-5.18175196533134,5.078541907843626e-7
-5.176307152060348,5.552434376721038e-7
-5.170862338789356,6.071508117655444e-7
-5.165417525518364,6.639109580153235e-7
-5.159972712247371,7.258835738044311e-7
-5.1545278989763785,7.934544989096626e-7
-5.149083085705387,8.670368421559438e-7
-5.143638272434394,9.470721434590157e-7
-5.138193459163402,1.034031567093141e-6
-5.132748645892409,1.128417121853964e-6
-5.1273038326214175,1.2307629053409652e-6
-5.121859019350425,1.3416363662255293e-6
-5.116414206079432,1.4616395811739569e-6
-5.11096939280844,1.5914105400138823e-6
-5.105524579537448,1.7316244346199383e-6
-5.100079766266456,1.8829949445112529e-6
-5.094634952995463,2.0462755137206842e-6
-5.0891901397244705,2.222260611595313e-6
-5.083745326453479,2.4117869707480227e-6
-5.078300513182486,2.6157347948986207e-6
-5.072855699911494,2.835028927663727e-6
-5.067410886640501,3.0706399757971653e-6
-5.0619660733695095,3.323585377573192e-6
-5.056521260098517,3.5949304061037163e-6
-5.051076446827524,3.885789101935183e-6
-5.045631633556532,4.197325121627592e-6
-5.04018682028554,4.530752495932305e-6
-5.034742007014548,4.887336285681453e-6
-5.029297193743555,5.2683931272322695e-6
-5.0238523804725626,5.675291656057936e-6
-5.018407567201571,6.109452799630058e-6
-5.012962753930578,6.572349928817087e-6
-5.007517940659586,7.065508859031844e-6
-5.002073127388593,7.590507689945666e-6
-4.9966283141176016,8.148976476136417e-6
-4.991183500846609,8.742596717595426e-6
-4.9857386875756164,9.373100663399945e-6
-4.980293874304624,1.0042270418140608e-5
-4.974849061033632,1.075193684530731e-5
-4.96940424776264,1.1503978259392277e-5
-4.963959434491647,1.2300318900373367e-5
-4.958514621220655,1.3142927185747725e-5
-4.953069807949663,1.4033813734904647e-5
-4.94762499467867,1.4975029162386019e-5
-4.942180181407678,1.596866163718156e-5
-4.936735368136685,1.7016834207651647e-5
-4.931290554865694,1.8121701890677373e-5
-4.925845741594701,1.928544852749549e-5
-4.9204009283237085,2.051028340765114e-5
-4.914956115052716,2.1798437667022372e-5
-4.909511301781724,2.315216046368425e-5
-4.904066488510732,2.45737149402684e-5
-4.898621675239739,2.6065373981658604e-5
-4.893176861968747,2.7629415778537836e-5
-4.887732048697755,2.9268119209823265e-5
-4.882287235426762,3.098375905717654e-5
-4.87684242215577,3.277860106983173e-5
-4.871397608884777,3.4654896895172996e-5
-4.865952795613786,3.661487889650844e-5
-4.860507982342793,3.866075487919153e-5
-4.8550631690718005,4.079470274748545e-5
-4.849618355800808,4.3018865117448735e-5
-4.844173542529816,4.533534391315888e-5
-4.838728729258824,4.774619497221848e-5
