Values,Density
-5.644152978470636,2.477675070666763e-7
-5.6387627736664685,2.4297342413048817e-7
-5.633372568862301,2.408000191744808e-7
-5.627982364058133,2.412146107300117e-7
-5.6225921592539665,2.4420500605026874e-7
-5.617201954449799,2.497792642441876e-7
-5.611811749645631,2.579655526968594e-7
-5.606421544841464,2.6881209180817933e-7
-5.601031340037296,2.823871888546492e-7
-5.595641135233128,2.987793583097975e-7
-5.590250930428962,3.1809752540357117e-7
-5.584860725624794,3.4047131264314245e-7
-5.579470520820626,3.660514057701736e-7
-5.574080316016459,3.9500999840513806e-7
-5.568690111212291,4.2754131118760696e-7
-5.563299906408123,4.6386218482963315e-7
-5.557909701603956,5.042127435572752e-7
-5.552519496799789,5.488571261924591e-7
-5.547129291995621,5.980842831265765e-7
-5.541739087191454,6.522088341065491e-7
-5.536348882387286,7.115719863337588e-7
-5.5309586775831185,7.765425071304399e-7
-5.525568472778951,8.475177485089969e-7
-5.520178267974783,9.249247197307131e-7
-5.5147880631706165,1.009221203857047e-6
-5.509397858366449,1.1008969125481105e-6
-5.504007653562281,1.2004746765270635e-6
-5.498617448758114,1.3085116643551942e-6
-5.493227243953946,1.425600625076795e-6
-5.487837039149778,1.5523711493214964e-6
-5.482446834345612,1.68949094170312e-6
-5.477056629541444,1.8376670982978016e-6
-5.471666424737276,1.9976473828186864e-6
-5.466276219933109,2.170221492856948e-6
-5.460886015128941,2.3562223098079482e-6
-5.4554958103247735,2.55652712325056e-6
-5.450105605520606,2.7720588217073315e-6
-5.444715400716439,3.0037870407432447e-6
-5.4393251959122715,3.2527292595069777e-6
-5.433934991108104,3.5199518345979067e-6
-5.428544786303936,3.806570963429826e-6
-5.423154581499769,4.113753565138708e-6
-5.417764376695601,4.442718068707694e-6
-5.412374171891434,4.794735097781279e-6
-5.406983967087267,5.171128041207189e-6
-5.401593762283099,5.573273497632672e-6
-5.396203557478931,6.002601583062622e-6
-5.390813352674764,6.460596089881681e-6
-5.385423147870596,6.9487944858749855e-6
-5.380032943066428,7.4687877425441045e-6
-5.374642738262262,8.022219980399889e-6
-5.369252533458094,8.610787920957795e-6
-5.363862328653926,9.23624013455767e-6
-5.358472123849759,9.900376073991688e-6
-5.353081919045591,1.0605044883457205e-5
-5.3476917142414235,1.1352143973431873e-5
-5.342301509437256,1.214361735406256e-5
-5.336911304633089,1.2981453716887645e-5
-5.3315210998289215,1.3867684260210973e-5
-5.326130895024754,1.480438024983443e-5
-5.320740690220586,1.5793650311402983e-5
-5.315350485416419,1.6837637449775814e-5
-5.309960280612251,1.7938515792365202e-5
-5.304570075808084,1.9098487055512403e-5
-5.299179871003917,2.031977673363789e-5
-5.293789666199749,2.1604630012698415e-5
-5.288399461395581,2.295530741067576e-5
-5.283009256591414,2.4374080150725216e-5
-5.277619051787246,2.586322527232043e-5
-5.2722288469830785,2.7425020490009187e-5
-5.266838642178912,2.906173880917219e-5
-5.261448437374744,3.077564291137629e-5
-5.2560582325705765,3.256897932305165e-5
-5.250668027766409,3.4443972385224094e-5
-5.245277822962241,3.640281803938693e-5
-5.239887618158074,3.8447677454100026e-5
-5.234497413353907,4.0580670510188084e-5
-5.229107208549739,4.280386917259902e-5
-5.223717003745572,4.5119290772066946e-5
-5.218326798941404,4.7528891227502845e-5
-5.212936594137236,5.003455823675241e-5
-5.207546389333069,5.263810446876744e-5
-5.202156184528901,5.534126079063148e-5
-5.196765979724734,5.814566956313151e-5
-5.191375774920567,6.105287804286414e-5
-5.185985570116399,6.406433192673454e-5
-5.180595365312231,6.718136907786184e-5
-5.175205160508064,7.040521347316162e-5
-5.169814955703896,7.373696941104333e-5
-5.1644247508997285,7.717761602056962e-5
-5.159034546095562,8.072800211270104e-5
-5.153644341291394,8.438884141352275e-5
-5.1482541364872265,8.816070822018865e-5
-5.142863931683059,9.204403351881912e-5
-5.137473726878891,9.603910160336637e-5
-5.132083522074724,0.00010014604723252937
-5.126693317270557,0.0001043648533611231
-5.121303112466389,0.00010869534948007575
-5.115912907662222,0.00011313721059695928
-5.110522702858054,0.00011768995688801916
-5.105132498053886,0.00012235295404727266
-5.099742293249719,0.00012712541435798246
-5.094352088445551,0.00013200639850882842
-5.088961883641384,0.00013699481816855773
